Car_ID,Brand,Model,Year,Color,Fuel_Type,Transmission,Body_Style,KM_Driven,Owner_Type,Selling_Price,Sale_Date,Dealer_Name,Dealer_Region,Seller_Type,Customer_Name,Phone,Email,Registration_State,Selling_Price_Numeric,Sale_Date_Standardized,Phone_Cleaned,Email_Cleaned,Selling_Price_Formatted
CAR0001,Honda,City,2021,Red,Electric,Manual,Wagon,77097,Third Owner,2254301,2023-08-27,Dealer_D18,North,Dealer,Customer_7924,+91-84456-62585,customer390@gmail.com,DL,2254301.0,2023-08-27,+91-84456-62585,customer390@gmail.com,Rs 22.54 L
CAR0002,Ford,Unknown Model,2024,Blue,Petrol,Semi-Automatic,Convertible,99800,First Owner,18.13 lakh,04-09-2024,Dealer_C7,West,Dealer,Customer_5422,9940395823,customer842@gmail.com,WB,1813000.0,2024-09-04,+91-99403-95823,customer842@gmail.com,Rs 18.13 L
CAR0003,Hyundai,Verna,2012,White,Hybrid,Automatic,SUV,69651,Third Owner,4909097,2023-04-04,Dealer_E4,East,Corporate,Customer_1188,8146005448,customer162outlook.com,TN,4909097.0,2023-04-04,+91-81460-05448,,Rs 49.09 L
CAR0004,Hyundai,Verna,2022,Grey,Petrol,Semi-Automatic,Convertible,47349,Fourth & Above,47.25 lakh,11/11/2023,Dealer_D4,South,Individual,Customer_8787,9605301030,customer748@yahoo.com,DL,4725000.0,2023-11-11,+91-96053-01030,customer748@yahoo.com,Rs 47.25 L
CAR0006,Honda,Swift,2017,White,Electric,Automatic,Convertible,149264,Fourth & Above,1021317,07/05/2024,Dealer_B2,Central,Individual,Customer_8973,94875603,customer322gmail.com,KA,1021317.0,2024-05-07,94875603,customer322@gmail.com,Rs 10.21 L
CAR0007,Honda,Amaze,2011,Grey,CNG,Manual,Wagon,66657,Third Owner,35.87 lakh,07-29-2023,Dealer_E1,Central,Dealer,,7915490795,customer71@yahoo.com,DL,3586999.9999999995,2023-07-29,+91-79154-90795,customer71@yahoo.com,Rs 35.87 L
CAR0008,Hyundai,Verna,2011,Green,CNG,Semi-Automatic,SUV,674879,First Owner,4840776,2023-02-22,Dealer_B4,East,Corporate,Customer_2232,7154739678,customer131@gmail.com,RJ,4840776.0,2023-02-22,+91-71547-39678,customer131@gmail.com,Rs 48.41 L
CAR0009,Hyundai,Unknown Model,2023,Black,Electric,Manual,Hatchback,47598,Third Owner,1685222,21-04-23,Dealer_A4,Central,Dealer,Customer_7528,8198832728,customer864@hotmail.com,GJ,1685222.0,2023-04-21,+91-81988-32728,customer864@hotmail.com,Rs 16.85 L
CAR0010,BMW,X5,2019,Black,Hybrid,Automatic,Coupe,139066,Fourth & Above,1170107,03-13-2023,Dealer_B17,West,Corporate,Customer_4143,7747441732,customer1@hotmail.com,KA,1170107.0,2023-03-13,+91-77474-41732,customer1@hotmail.com,Rs 11.70 L
CAR0011,Honda,Accord,2018,Black,Electric,Semi-Automatic,Coupe,92867,Fourth & Above,983388,2024-09-17,Dealer_E17,West,Corporate,Customer_2746,99889183,customer256@gmail.com,WB,983388.0,2024-09-17,99889183,customer256@gmail.com,Rs 9.83 L
CAR0012,Hyundai,Venue,2017,Silver,Diesel,Automatic,Coupe,72945,Third Owner,0.23 crore,12-10-2023,Dealer_E18,Central,Individual,Customer_2020,95086019,customer902@outlook.com,WB,2300000.0,2023-10-12,95086019,customer902@outlook.com,Rs 23.00 L
CAR0013,Maruti,Baleno,2016,Red,Diesel,Manual,SUV,132308,First Owner,4.43 lakh,2024-08-29,Dealer_B1,Central,Individual,Customer_7211,7351784589,customer975@hotmail.com,TN,443000.0,2024-08-29,+91-73517-84589,customer975@hotmail.com,Rs 4.43 L
CAR0014,Hyundai,Venue,2020,Blue,Electric,Manual,Hatchback,663555,First Owner,49.31 lakh,06-17-2023,Dealer_A14,West,Individual,Customer_4978,9578748240,customer43@hotmail.com,RJ,4931000.0,2023-06-17,+91-95787-48240,customer43@hotmail.com,Rs 49.31 L
CAR0015,BMW,X5,2021,Green,Electric,Semi-Automatic,Coupe,45105,Second Owner,3853130,08-29-2024,Dealer_E8,West,Corporate,Customer_9098,8109615163,customer283@gmail.com,WB,3853130.0,2024-08-29,+91-81096-15163,customer283@gmail.com,Rs 38.53 L
CAR0016,Tata,Nexon,2011,Grey,Hybrid,Manual,SUV,82132,Third Owner,2058885,04-09-2024,Dealer_D4,North,Corporate,Customer_9595,08272368870,customer547@yahoo.com,UP,2058885.0,2024-09-04,08272368870,customer547@yahoo.com,Rs 20.59 L
